validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
927.6273803710938,1729245999,,False,31,9b5cf_00014,2024-10-18_18-06-39,79.93978571891785,2585.409945011139,581802,gilberthan-WD12,192.168.1.100,2585.409945011139,31
927.5217895507812,1729246069,,False,32,9b5cf_00014,2024-10-18_18-07-49,70.52487921714783,2655.9348242282867,581802,gilberthan-WD12,192.168.1.100,2655.9348242282867,32
926.6829223632812,1729246138,,False,33,9b5cf_00014,2024-10-18_18-08-58,69.22865533828735,2725.163479566574,581802,gilberthan-WD12,192.168.1.100,2725.163479566574,33
925.8696899414062,1729246216,,False,34,9b5cf_00014,2024-10-18_18-10-16,77.95597386360168,2803.119453430176,581802,gilberthan-WD12,192.168.1.100,2803.119453430176,34
925.8746337890625,1729246285,,False,35,9b5cf_00014,2024-10-18_18-11-25,69.1747043132782,2872.294157743454,581802,gilberthan-WD12,192.168.1.100,2872.294157743454,35
926.2776489257812,1729246353,,False,36,9b5cf_00014,2024-10-18_18-12-33,67.49534964561462,2939.7895073890686,581802,gilberthan-WD12,192.168.1.100,2939.7895073890686,36
926.014892578125,1729246418,,False,37,9b5cf_00014,2024-10-18_18-13-38,65.53768825531006,3005.3271956443787,581802,gilberthan-WD12,192.168.1.100,3005.3271956443787,37
925.8251342773438,1729246486,,False,38,9b5cf_00014,2024-10-18_18-14-46,67.52649259567261,3072.8536882400513,581802,gilberthan-WD12,192.168.1.100,3072.8536882400513,38
925.2713012695312,1729246562,,False,39,9b5cf_00014,2024-10-18_18-16-02,76.28320240974426,3149.1368906497955,581802,gilberthan-WD12,192.168.1.100,3149.1368906497955,39
925.6739501953125,1729246635,,False,40,9b5cf_00014,2024-10-18_18-17-15,72.180410861969,3221.3173015117645,581802,gilberthan-WD12,192.168.1.100,3221.3173015117645,40
925.7998657226562,1729246701,,False,41,9b5cf_00014,2024-10-18_18-18-21,66.84582877159119,3288.1631302833557,581802,gilberthan-WD12,192.168.1.100,3288.1631302833557,41
926.466796875,1729246782,,False,42,9b5cf_00014,2024-10-18_18-19-42,80.16038155555725,3368.323511838913,581802,gilberthan-WD12,192.168.1.100,3368.323511838913,42
925.0975341796875,1729246857,,False,43,9b5cf_00014,2024-10-18_18-20-57,75.54250764846802,3443.866019487381,581802,gilberthan-WD12,192.168.1.100,3443.866019487381,43
924.9932861328125,1729246941,,False,44,9b5cf_00014,2024-10-18_18-22-21,84.02259373664856,3527.8886132240295,581802,gilberthan-WD12,192.168.1.100,3527.8886132240295,44
925.1472778320312,1729247009,,False,45,9b5cf_00014,2024-10-18_18-23-29,68.03682827949524,3595.925441503525,581802,gilberthan-WD12,192.168.1.100,3595.925441503525,45
924.8970947265625,1729247068,,False,46,9b5cf_00014,2024-10-18_18-24-28,58.98660755157471,3654.9120490550995,581802,gilberthan-WD12,192.168.1.100,3654.9120490550995,46
924.1981811523438,1729247129,,False,47,9b5cf_00014,2024-10-18_18-25-29,60.6720244884491,3715.5840735435486,581802,gilberthan-WD12,192.168.1.100,3715.5840735435486,47
925.1369018554688,1729247203,,False,48,9b5cf_00014,2024-10-18_18-26-43,73.88359665870667,3789.4676702022552,581802,gilberthan-WD12,192.168.1.100,3789.4676702022552,48
925.037841796875,1729247263,,False,49,9b5cf_00014,2024-10-18_18-27-43,60.06633758544922,3849.5340077877045,581802,gilberthan-WD12,192.168.1.100,3849.5340077877045,49
924.8021240234375,1729247320,,False,50,9b5cf_00014,2024-10-18_18-28-40,57.325586557388306,3906.859594345093,581802,gilberthan-WD12,192.168.1.100,3906.859594345093,50
925.1719970703125,1729247392,,False,51,9b5cf_00014,2024-10-18_18-29-52,71.66098403930664,3978.5205783843994,581802,gilberthan-WD12,192.168.1.100,3978.5205783843994,51
924.5189819335938,1729247473,,False,52,9b5cf_00014,2024-10-18_18-31-13,80.73990869522095,4059.2604870796204,581802,gilberthan-WD12,192.168.1.100,4059.2604870796204,52
924.8695068359375,1729247538,,False,53,9b5cf_00014,2024-10-18_18-32-18,65.15269994735718,4124.4131870269775,581802,gilberthan-WD12,192.168.1.100,4124.4131870269775,53
924.3995971679688,1729247606,,False,54,9b5cf_00014,2024-10-18_18-33-26,68.24198412895203,4192.65517115593,581802,gilberthan-WD12,192.168.1.100,4192.65517115593,54
925.7117919921875,1729247672,,False,55,9b5cf_00014,2024-10-18_18-34-32,65.87182593345642,4258.526997089386,581802,gilberthan-WD12,192.168.1.100,4258.526997089386,55
924.247802734375,1729247741,,False,56,9b5cf_00014,2024-10-18_18-35-41,68.82749605178833,4327.354493141174,581802,gilberthan-WD12,192.168.1.100,4327.354493141174,56
924.5812377929688,1729247812,,False,57,9b5cf_00014,2024-10-18_18-36-52,70.97915554046631,4398.333648681641,581802,gilberthan-WD12,192.168.1.100,4398.333648681641,57
924.4461059570312,1729247882,,False,58,9b5cf_00014,2024-10-18_18-38-02,69.92381858825684,4468.2574672698975,581802,gilberthan-WD12,192.168.1.100,4468.2574672698975,58
924.324462890625,1729247941,,False,59,9b5cf_00014,2024-10-18_18-39-01,59.38852572441101,4527.6459929943085,581802,gilberthan-WD12,192.168.1.100,4527.6459929943085,59
924.2646484375,1729248003,,False,60,9b5cf_00014,2024-10-18_18-40-03,62.48288083076477,4590.128873825073,581802,gilberthan-WD12,192.168.1.100,4590.128873825073,60
