validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1100.7030029296875,1729243497,,False,1,9b5cf_00001,2024-10-18_17-24-57,84.42515563964844,84.42515563964844,581540,gilberthan-WD12,192.168.1.100,84.42515563964844,1
1052.687744140625,1729243580,,False,2,9b5cf_00001,2024-10-18_17-26-20,82.53850436210632,166.96366000175476,581540,gilberthan-WD12,192.168.1.100,166.96366000175476,2
1030.6683349609375,1729243662,,False,3,9b5cf_00001,2024-10-18_17-27-42,81.68524050712585,248.64890050888062,581540,gilberthan-WD12,192.168.1.100,248.64890050888062,3
1017.31640625,1729243743,,True,4,9b5cf_00001,2024-10-18_17-29-03,81.36517071723938,330.01407122612,581540,gilberthan-WD12,192.168.1.100,330.01407122612,4
