validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1089.4075927734375,1729243514,,False,1,9b5cf_00029,2024-10-18_17-25-14,100.9919581413269,100.9919581413269,581849,gilberthan-WD12,192.168.1.100,100.9919581413269,1
1041.3101806640625,1729243613,,False,2,9b5cf_00029,2024-10-18_17-26-53,99.13525652885437,200.12721467018127,581849,gilberthan-WD12,192.168.1.100,200.12721467018127,2
1018.8475952148438,1729243712,,False,3,9b5cf_00029,2024-10-18_17-28-32,98.74416828155518,298.87138295173645,581849,gilberthan-WD12,192.168.1.100,298.87138295173645,3
1004.0629272460938,1729243810,,False,4,9b5cf_00029,2024-10-18_17-30-10,98.55226993560791,397.42365288734436,581849,gilberthan-WD12,192.168.1.100,397.42365288734436,4
997.173583984375,1729243909,,False,5,9b5cf_00029,2024-10-18_17-31-49,98.38362407684326,495.8072769641876,581849,gilberthan-WD12,192.168.1.100,495.8072769641876,5
988.7312622070312,1729244010,,False,6,9b5cf_00029,2024-10-18_17-33-30,101.45830488204956,597.2655818462372,581849,gilberthan-WD12,192.168.1.100,597.2655818462372,6
982.8753662109375,1729244110,,False,7,9b5cf_00029,2024-10-18_17-35-10,99.78808999061584,697.053671836853,581849,gilberthan-WD12,192.168.1.100,697.053671836853,7
977.7258911132812,1729244209,,True,8,9b5cf_00029,2024-10-18_17-36-49,99.49551606178284,796.5491878986359,581849,gilberthan-WD12,192.168.1.100,796.5491878986359,8
