validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1050.6875,1729243620,,False,1,9b5cf_00044,2024-10-18_17-27-00,100.07517123222351,100.07517123222351,581854,gilberthan-WD12,192.168.1.100,100.07517123222351,1
1014.8817138671875,1729243721,,False,2,9b5cf_00044,2024-10-18_17-28-41,100.70410919189453,200.77928042411804,581854,gilberthan-WD12,192.168.1.100,200.77928042411804,2
999.553466796875,1729243824,,False,3,9b5cf_00044,2024-10-18_17-30-24,102.92705965042114,303.7063400745392,581854,gilberthan-WD12,192.168.1.100,303.7063400745392,3
990.80810546875,1729243927,,False,4,9b5cf_00044,2024-10-18_17-32-07,103.5385627746582,407.2449028491974,581854,gilberthan-WD12,192.168.1.100,407.2449028491974,4
982.7735595703125,1729244030,,False,5,9b5cf_00044,2024-10-18_17-33-50,102.87815117835999,510.1230540275574,581854,gilberthan-WD12,192.168.1.100,510.1230540275574,5
976.2713012695312,1729244132,,False,6,9b5cf_00044,2024-10-18_17-35-32,102.03818106651306,612.1612350940704,581854,gilberthan-WD12,192.168.1.100,612.1612350940704,6
972.8812255859375,1729244235,,False,7,9b5cf_00044,2024-10-18_17-37-15,102.60346937179565,714.7647044658661,581854,gilberthan-WD12,192.168.1.100,714.7647044658661,7
968.7205200195312,1729244340,,True,8,9b5cf_00044,2024-10-18_17-39-00,105.58814311027527,820.3528475761414,581854,gilberthan-WD12,192.168.1.100,820.3528475761414,8
