validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1049.3704833984375,1729244011,,False,1,9b5cf_00079,2024-10-18_17-33-31,109.34809279441833,109.34809279441833,581850,gilberthan-WD12,192.168.1.100,109.34809279441833,1
1014.6713256835938,1729244119,,False,2,9b5cf_00079,2024-10-18_17-35-19,107.19654321670532,216.54463601112366,581850,gilberthan-WD12,192.168.1.100,216.54463601112366,2
999.1508178710938,1729244227,,False,3,9b5cf_00079,2024-10-18_17-37-07,108.25037407875061,324.79501008987427,581850,gilberthan-WD12,192.168.1.100,324.79501008987427,3
988.4791870117188,1729244338,,False,4,9b5cf_00079,2024-10-18_17-38-58,111.26381921768188,436.05882930755615,581850,gilberthan-WD12,192.168.1.100,436.05882930755615,4
979.469970703125,1729244437,,False,5,9b5cf_00079,2024-10-18_17-40-37,99.21522259712219,535.2740519046783,581850,gilberthan-WD12,192.168.1.100,535.2740519046783,5
973.6660766601562,1729244526,,False,6,9b5cf_00079,2024-10-18_17-42-06,88.32998251914978,623.6040344238281,581850,gilberthan-WD12,192.168.1.100,623.6040344238281,6
966.9111328125,1729244614,,False,7,9b5cf_00079,2024-10-18_17-43-34,88.1345579624176,711.7385923862457,581850,gilberthan-WD12,192.168.1.100,711.7385923862457,7
964.446533203125,1729244700,,True,8,9b5cf_00079,2024-10-18_17-45-00,86.31864857673645,798.0572409629822,581850,gilberthan-WD12,192.168.1.100,798.0572409629822,8
